delta_D,dS_dDeltaOmega_at0,dS_dDeltaB_at0
-2.0,0.0262908217814528,0.6047276032774053
-1.75,-0.023729136057759607,-0.4770364489243196
-1.5,-0.2609283122039223,-0.5533002020979673
-1.25,0.11631893037243542,-0.1602554524997202
-1.0,-0.526281859993267,1.7319513062892127
-0.75,0.3130008909504577,-1.6365761304997444
-0.5,-0.990860422506812,-3.445898204458423
-0.25,-1.132775570889209,-3.8566193534935373
0.0,0.5438307840523705,2.279026117010323
0.25,-1.8315949220191576,5.0481633376843105
0.5,-0.6537802785433053,0.8936095869376789
0.75,-0.015616688932028605,0.5257461179905388
1.0,-0.15087466144192424,1.8735943231667145
1.25,0.038396227537898495,1.8060992523023482
1.5,-0.07052981384467302,-0.5869126336577503
1.75,0.012341882515352062,0.1070946265871964
2.0,0.044752163677932985,0.01793782525267851
