delta_b,delta_D,S
0.0,-2.0,-0.974612648994064
0.0,-1.8,-0.9723992107438594
0.0,-1.6,-0.9697434912464986
0.0,-1.4,-0.9664971292584565
0.0,-1.2,-0.9624378020126052
0.0,-1.0,-0.9572177008565057
0.0,-0.7999999999999998,-0.950263562988855
0.0,-0.5999999999999999,-0.9405749319402724
0.0,-0.3999999999999999,-0.9262348358816388
0.0,-0.19999999999999996,-0.9032268948943508
0.0,0.0,-0.8616641987397256
0.0,0.20000000000000018,-0.7734923660007927
0.0,0.40000000000000036,-0.5319962824159541
0.0,0.6000000000000001,-0.0015769080352414629
0.0,0.8000000000000003,0.4307885753488529
0.0,1.0,0.6426596617734476
0.0,1.2000000000000002,0.7605118468410039
0.0,1.4000000000000004,0.8266472990282381
0.0,1.6,0.8678225145871481
0.0,1.8000000000000003,0.8947287898972953
0.0,2.0,0.9132421569123981
0.05,-2.0,-0.9778454792529071
0.05,-1.8,-0.9760900242390936
0.05,-1.6,-0.9739989665768769
0.05,-1.4,-0.971467317922533
0.05,-1.2,-0.9683414276272004
0.05,-1.0,-0.9643876415972321
0.05,-0.7999999999999998,-0.9592339584750654
0.05,-0.5999999999999999,-0.9522570348856458
0.05,-0.3999999999999999,-0.9423285121262064
0.05,-0.19999999999999996,-0.9272391953011687
0.05,0.0,-0.9020769570179203
0.05,0.20000000000000018,-0.8543248229557595
0.05,0.40000000000000036,-0.7413861678182767
0.05,0.6000000000000001,-0.4318396980850953
0.05,0.8000000000000003,0.16708495229922254
0.05,1.0,0.49633833438172453
0.05,1.2000000000000002,0.6907531461773159
0.05,1.4000000000000004,0.7802858342713214
0.05,1.6,0.839261086086567
0.05,1.8000000000000003,0.8761337562939714
0.05,2.0,0.9005723174478941
0.1,-2.0,-0.9797527465281115
0.1,-1.8,-0.9783683827783592
0.1,-1.6,-0.9767255175155705
0.1,-1.4,-0.9747478483078316
0.1,-1.2,-0.9723259084217363
0.1,-1.0,-0.9692971124525912
0.1,-0.7999999999999998,-0.965409836040959
0.1,-0.5999999999999999,-0.9602561535881289
0.1,-0.3999999999999999,-0.9531296613901313
0.1,-0.19999999999999996,-0.9427182354713417
0.1,0.0,-0.9263176916341712
0.1,0.20000000000000018,-0.8976339824653361
0.1,0.40000000000000036,-0.8381518728693496
0.1,0.6000000000000001,-0.689425544845724
0.1,0.8000000000000003,-0.20271603699596105
0.1,1.0,0.28482718224853626
0.1,1.2000000000000002,0.5470008836005016
0.1,1.4000000000000004,0.7168164347517123
0.1,1.6,0.8021610397549972
0.1,1.8000000000000003,0.8531100626231837
0.1,2.0,0.8855177802933955
0.15,-2.0,-0.9803225562560549
0.15,-1.8,-0.9792529747925807
0.15,-1.6,-0.9779841658872356
0.15,-1.4,-0.9764597652319507
0.15,-1.2,-0.9746002618521653
0.15,-1.0,-0.9722898642340027
0.15,-0.7999999999999998,-0.9693534897523178
0.15,-0.5999999999999999,-0.9655148130323317
0.15,-0.3999999999999999,-0.9603116446759348
0.15,-0.19999999999999996,-0.9529195464725734
0.15,0.0,-0.9417321594550516
0.15,0.20000000000000018,-0.9232533742654583
0.15,0.40000000000000036,-0.8883145000992466
0.15,0.6000000000000001,-0.8096776256823586
0.15,0.8000000000000003,-0.5640111547922919
0.15,1.0,-0.009358462597688433
0.15,1.2000000000000002,0.3796119484500885
0.15,1.4000000000000004,0.6288267474765922
0.15,1.6,0.7533845549987842
0.15,1.8000000000000003,0.8244781639017574
0.15,2.0,0.8676962682875203
