theta_deg,delta_D,S
0.0,-2.0,-0.974612648994064
0.0,-1.8,-0.9723992107438594
0.0,-1.6,-0.9697434912464986
0.0,-1.4,-0.9664971292584565
0.0,-1.2,-0.9624378020126052
0.0,-1.0,-0.9572177008565057
0.0,-0.7999999999999998,-0.950263562988855
0.0,-0.5999999999999999,-0.9405749319402724
0.0,-0.3999999999999999,-0.9262348358816388
0.0,-0.19999999999999996,-0.9032268948943508
0.0,0.0,-0.8616641987397256
0.0,0.20000000000000018,-0.7734923660007927
0.0,0.40000000000000036,-0.5319962824159541
0.0,0.6000000000000001,-0.0015769080352414629
0.0,0.8000000000000003,0.4307885753488529
0.0,1.0,0.6426596617734476
0.0,1.2000000000000002,0.7605118468410039
0.0,1.4000000000000004,0.8266472990282381
0.0,1.6,0.8678225145871481
0.0,1.8000000000000003,0.8947287898972953
0.0,2.0,0.9132421569123981
15.0,-2.0,-0.974612648994064
15.0,-1.8,-0.9723992107438597
15.0,-1.6,-0.9697434912464986
15.0,-1.4,-0.9664971292584565
15.0,-1.2,-0.9624378020126052
15.0,-1.0,-0.957217700856506
15.0,-0.7999999999999998,-0.950263562988855
15.0,-0.5999999999999999,-0.9405749319402728
15.0,-0.3999999999999999,-0.9262348358816391
15.0,-0.19999999999999996,-0.9032268948943513
15.0,0.0,-0.8616641987397264
15.0,0.20000000000000018,-0.7734923660007946
15.0,0.40000000000000036,-0.531996282415959
15.0,0.6000000000000001,-0.001576908035247072
15.0,0.8000000000000003,0.43078857534885023
15.0,1.0,0.6426596617734458
15.0,1.2000000000000002,0.7605118468410031
15.0,1.4000000000000004,0.8266472990282376
15.0,1.6,0.8678225145871478
15.0,1.8000000000000003,0.8947287898972953
15.0,2.0,0.9132421569123977
30.0,-2.0,-0.974612648994064
30.0,-1.8,-0.9723992107438597
30.0,-1.6,-0.9697434912464986
30.0,-1.4,-0.9664971292584565
30.0,-1.2,-0.9624378020126052
30.0,-1.0,-0.957217700856506
30.0,-0.7999999999999998,-0.950263562988855
30.0,-0.5999999999999999,-0.9405749319402728
30.0,-0.3999999999999999,-0.9262348358816391
30.0,-0.19999999999999996,-0.9032268948943513
30.0,0.0,-0.8616641987397264
30.0,0.20000000000000018,-0.7734923660007943
30.0,0.40000000000000036,-0.5319962824159584
30.0,0.6000000000000001,-0.0015769080352468052
30.0,0.8000000000000003,0.43078857534885023
30.0,1.0,0.642659661773446
30.0,1.2000000000000002,0.7605118468410031
30.0,1.4000000000000004,0.8266472990282376
30.0,1.6,0.8678225145871478
30.0,1.8000000000000003,0.8947287898972953
30.0,2.0,0.9132421569123981
45.0,-2.0,-0.9769120790053366
45.0,-1.8,-0.9755331045994342
45.0,-1.6,-0.9738631964305527
45.0,-1.4,-0.9718001293659326
45.0,-1.2,-0.9691897889232948
45.0,-1.0,-0.9657887779945719
45.0,-0.7999999999999998,-0.9611901800508947
45.0,-0.5999999999999999,-0.9546680632351451
45.0,-0.3999999999999999,-0.9447770297723921
45.0,-0.19999999999999996,-0.9283372198602949
45.0,0.0,-0.8961589965324229
45.0,0.20000000000000018,-0.8158159472482878
45.0,0.40000000000000036,-0.5324364327265801
45.0,0.6000000000000001,-0.10710578362953173
45.0,0.8000000000000003,0.35577143837454606
45.0,1.0,0.6213616495450693
45.0,1.2000000000000002,0.7634961078423161
45.0,1.4000000000000004,0.8375321036380117
45.0,1.6,0.8806565059652018
45.0,1.8000000000000003,0.9077616294754784
45.0,2.0,0.9258846188408235
60.0,-2.0,-0.9769120790053366
60.0,-1.8,-0.9755331045994342
60.0,-1.6,-0.9738631964305529
60.0,-1.4,-0.9718001293659326
60.0,-1.2,-0.9691897889232949
60.0,-1.0,-0.9657887779945719
60.0,-0.7999999999999998,-0.9611901800508947
60.0,-0.5999999999999999,-0.9546680632351451
60.0,-0.3999999999999999,-0.9447770297723921
60.0,-0.19999999999999996,-0.9283372198602949
60.0,0.0,-0.896158996532423
60.0,0.20000000000000018,-0.8158159472482878
60.0,0.40000000000000036,-0.53243643272658
60.0,0.6000000000000001,-0.10710578362953152
60.0,0.8000000000000003,0.3557714383745462
60.0,1.0,0.6213616495450693
60.0,1.2000000000000002,0.7634961078423161
60.0,1.4000000000000004,0.8375321036380117
60.0,1.6,0.8806565059652018
60.0,1.8000000000000003,0.907761629475478
60.0,2.0,0.9258846188408235
90.0,-2.0,-0.9769120790053366
90.0,-1.8,-0.9755331045994342
90.0,-1.6,-0.9738631964305527
90.0,-1.4,-0.9718001293659325
90.0,-1.2,-0.9691897889232948
90.0,-1.0,-0.9657887779945717
90.0,-0.7999999999999998,-0.9611901800508946
90.0,-0.5999999999999999,-0.954668063235145
90.0,-0.3999999999999999,-0.9447770297723921
90.0,-0.19999999999999996,-0.9283372198602948
90.0,0.0,-0.8961589965324225
90.0,0.20000000000000018,-0.8158159472482863
90.0,0.40000000000000036,-0.5324364327265756
90.0,0.6000000000000001,-0.1071057836295268
90.0,0.8000000000000003,0.3557714383745499
90.0,1.0,0.6213616495450713
90.0,1.2000000000000002,0.7634961078423173
90.0,1.4000000000000004,0.8375321036380123
90.0,1.6,0.8806565059652022
90.0,1.8000000000000003,0.9077616294754784
90.0,2.0,0.9258846188408235
