delta_D,delta_omega,S_mean,S_std
-1.0,0.0,-0.9279580298991682,0.04073733081669251
-1.0,0.1,-0.9486228849353701,0.03236298497959213
-1.0,0.2,-0.9617727114641499,0.029624598333802935
-1.0,0.3,-0.9669767576664619,0.02548686381667482
-1.0,0.4,-0.9678265912211321,0.02523456564506046
-1.0,0.5,-0.9691782142397354,0.01216400586864293
-1.0,0.6,-0.9681301315527046,0.01979497601347778
-1.0,0.8,-0.8920827220278875,0.15298220523463515
-1.0,1.0,-0.5495081631584263,0.750855146061923
-1.0,1.4,0.5737704186533225,0.7814493122289786
-0.5,0.0,-0.7913572591905977,0.16105835477898173
-0.5,0.1,-0.8910642992647482,0.07862166319601549
-0.5,0.2,-0.9301794095655321,0.062102050580860525
-0.5,0.3,-0.9445866644356482,0.04806932142536367
-0.5,0.4,-0.9303619380053858,0.049122205284046504
-0.5,0.5,-0.8949695074369985,0.1212830983823155
-0.5,0.6,-0.560972318897288,0.7096728747290095
-0.5,0.8,0.5798190203571598,0.7185899750796291
-0.5,1.0,0.9112799028691277,0.12064563577457144
-0.5,1.4,0.9800967166138728,0.011256189145404376
0.0,0.0,0.21176696984943355,0.5548106201264851
0.0,0.1,-0.12468020591278442,0.5993315406816644
0.0,0.2,-0.14188804606131422,0.765804274059893
0.0,0.3,-0.12904577988726926,0.8540590245251324
0.0,0.4,0.37494390674186945,0.7193097686304725
0.0,0.5,0.9377674041648923,0.05966430639774794
0.0,0.6,0.967803057326536,0.03233908106321076
0.0,0.8,0.9676102371342303,0.015033166399094732
0.0,1.0,0.9737979463817521,0.019275357249423752
0.0,1.4,0.9782243122003914,0.018798052355662596
0.5,0.0,0.9341179643721753,0.08973400367792252
0.5,0.1,0.7788142804845045,0.1097006915165243
0.5,0.2,0.8022517966214325,0.12208454260964087
0.5,0.3,0.8684756140535288,0.0844888445453391
0.5,0.4,0.9031007025658205,0.06878985190960468
0.5,0.5,0.9649810532176879,0.05317772719136809
0.5,0.6,0.9694999164410893,0.03813936680041323
0.5,0.8,0.9600445057499538,0.019489639282654538
0.5,1.0,0.9689524124892008,0.02561717394221401
0.5,1.4,0.9750176780151796,0.02265816740600014
1.0,0.0,0.969573158507627,0.033455359740574946
1.0,0.1,0.9318577093757602,0.03155539581875649
1.0,0.2,0.9272275277674374,0.037305931167944256
1.0,0.3,0.9324568151937935,0.035490726840663386
1.0,0.4,0.9362221433498383,0.03431977428779402
1.0,0.5,0.9758443091217496,0.031296934594363376
1.0,0.6,0.9760635570147784,0.0259779428774088
1.0,0.8,0.9623877855349937,0.01634152502508481
1.0,1.0,0.9702322043464868,0.023805264082577462
1.0,1.4,0.9742049198691684,0.021461987629698472
