D_mean,delta_D,dS_dGamma_mean,dS_dGamma_std
1.5,0.0,-14.20607375237615,11.332023121688202
1.5,0.5,-0.17856464328485755,0.32942793602716863
1.5,1.0,-0.009815238167860674,0.08127099665064093
2.0,0.0,-12.65263203024278,9.358532314108418
2.0,0.5,-0.4407727460048134,0.6801872899880301
2.0,1.0,-0.03402010680217282,0.14416310771934196
2.5,0.0,-11.442767954020798,7.551718079100726
2.5,0.5,-1.5405655982169426,2.0760459869251258
2.5,1.0,-0.07526228406236735,0.2364636770122381
3.0,0.0,-10.79032413003442,6.5524880445549485
3.0,0.5,-3.8745756945651335,5.838067466414535
3.0,1.0,-0.1402492767148571,0.3677201258227576
3.5,0.0,-10.475296340961282,6.114360009910591
3.5,0.5,-4.902673190658563,7.229078981340118
3.5,1.0,-0.23902328906336479,0.5553374585496151
4.0,0.0,-10.313750265357166,5.925795313756072
4.0,0.5,-5.241089296321301,4.529360356660786
4.0,1.0,-0.40544556509022645,0.8234311348308587
