delta_D,delta_epsilon,S_mean,S_std
-1.0,0.0,-0.9279580298991682,0.04073733081669251
-1.0,0.1,-0.928541176728154,0.038148683768893965
-1.0,0.2,-0.9199382416565595,0.043919560495986165
-1.0,0.3,-0.9097715484297494,0.06382399922476649
-1.0,0.5,-0.8723908517217638,0.0738923164349565
-1.0,0.7,-0.8072229308093573,0.16710161334025342
-1.0,1.0,-0.7234668151894752,0.2194531492565574
-1.0,1.2,-0.5122990135456318,0.5808928871068011
-1.0,1.5,-0.5883598377441397,0.5533494376238234
-1.0,2.0,-0.8294594307877061,0.11062044778850562
-0.5,0.0,-0.7913572591905977,0.16105835477898173
-0.5,0.1,-0.804931136864759,0.10910482539388058
-0.5,0.2,-0.7653361063049826,0.1307800697334617
-0.5,0.3,-0.7029937329792274,0.19488365757465195
-0.5,0.5,-0.4790834611578245,0.39549407901350087
-0.5,0.7,-0.2768470485504986,0.6301993885577708
-0.5,1.0,-0.18166345110053292,0.771402855196451
-0.5,1.2,0.11711507214227965,0.8291632404589204
-0.5,1.5,-0.1005002093382702,0.7745618788298383
-0.5,2.0,-0.8156017866027325,0.10661728382942219
0.0,0.0,0.21176696984943355,0.5548106201264851
0.0,0.1,0.06812092232092,0.4254531535757462
0.0,0.2,0.16672539709188544,0.435988769506881
0.0,0.3,0.183861109724664,0.6338492441077058
0.0,0.5,0.37168438837644374,0.6892099428421057
0.0,0.7,0.45683679200477245,0.7155481960798624
0.0,1.0,0.2055100912932407,0.8755426668834586
0.0,1.2,0.2008607788877243,0.8589947677625033
0.0,1.5,0.1967749330628171,0.8726172551468735
0.0,2.0,0.03957435015251387,0.8135586216914457
0.5,0.0,0.9341179643721753,0.08973400367792252
0.5,0.1,0.9241046572683247,0.09224981758904376
0.5,0.2,0.9257571012631056,0.0782763667867266
0.5,0.3,0.8665145990494072,0.07018641760028654
0.5,0.5,0.8997409822150667,0.0552392521004447
0.5,0.7,0.9136825264689001,0.04500738793764019
0.5,1.0,0.673026456796286,0.49490599484781567
0.5,1.2,0.7784119784815925,0.3277118859750877
0.5,1.5,0.5776808222773321,0.7230087901167558
0.5,2.0,0.26702002951319476,0.838019416417143
1.0,0.0,0.969573158507627,0.033455359740574946
1.0,0.1,0.9682304114624003,0.03480195789705774
1.0,0.2,0.9684385563584639,0.0321448917823823
1.0,0.3,0.946004503723916,0.031200735972364745
1.0,0.5,0.9489381466235292,0.028592503315653973
1.0,0.7,0.9497055884874325,0.027225341020979312
1.0,1.0,0.9448275658867488,0.03222215029116194
1.0,1.2,0.9644823101109757,0.031614099894989166
1.0,1.5,0.9618147428340327,0.03167665909283465
1.0,2.0,0.9459350702986509,0.02025205769001615
