D_mean,delta_D,dS_dEpsilon_mean,dS_dEpsilon_std
1.5,0.0,-7.41111693284374,7.387585645240115
1.5,0.5,-0.9033619038695626,1.4954254788942714
1.5,1.0,-0.19457278665540878,0.3905641227058441
2.0,0.0,-6.430864818780156,8.612486069773702
2.0,0.5,-1.6132670589330296,2.3868014060530074
2.0,1.0,-0.35844391724503755,0.702171423002639
2.5,0.0,-5.358813054568267,9.160512190426651
2.5,0.5,-2.9794703596200227,3.7771256365059966
2.5,1.0,-0.5857181236366178,1.0812483061147682
3.0,0.0,-4.668664681539344,9.626469220922266
3.0,0.5,-5.122021216671124,6.475595347860996
3.0,1.0,-0.9081227543722055,1.5279132295655997
3.5,0.0,-4.340818769466225,9.931914445149674
3.5,0.5,-7.230071716284334,9.890583395373989
3.5,1.0,-1.3496300210879313,2.041663272938809
4.0,0.0,-4.1923320406811,10.114715856931674
4.0,0.5,-5.502585974698534,7.994015894568377
4.0,1.0,-1.9106934729658047,2.608462597636268
